asset_subgroup,sub_category,rank,isin,scheme_code,recommended_fund,selection_reason,custom_reason,pm_tenure_reason,returns_pctile_reason,consistency_reason,direct_regular_reason,div_growth_reason,worst_perf_reason,size_reason,excluded_subgroup_reason
arbitrage,Arbitrage Fund,,INF846K01QC8,130771,Axis Arbitrage Fund - Regular Plan - Growth,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
arbitrage,Arbitrage Fund,,INF846K01QD6,130776,Axis Arbitrage Fund - Regular Plan - Monthly IDCW,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
arbitrage,Arbitrage Fund,,INF0QA701532,152080,Bajaj Finserv Arbitrage Fund- Direct Plan-IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF0QA701490,152078,Bajaj Finserv Arbitrage Fund- Regular Plan-Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF0QA701524,152077,Bajaj Finserv Arbitrage Fund-Direct Plan-Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF0QA701508,152079,Bajaj Finserv Arbitrage Fund-Regular Plan-IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF194KA1YD2,133680,BANDHAN Arbitrage Fund - Regular Plan - Annual IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
arbitrage,Arbitrage Fund,,INF194K01649,108845,BANDHAN Arbitrage Fund - Regular Plan - Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
arbitrage,Arbitrage Fund,,INF194K01656,108847,BANDHAN Arbitrage Fund - Regular Plan - Monthly IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
arbitrage,Arbitrage Fund,,INF194K01Y60,118474,BANDHAN Arbitrage Fund-Direct Plan- Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation",,"Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
arbitrage,Arbitrage Fund,,INF194KA1YG5,133679,BANDHAN Arbitrage Fund-Direct Plan-Annual IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
arbitrage,Arbitrage Fund,,INF194K01Y78,118475,BANDHAN Arbitrage Fund-Direct Plan-Monthly IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
arbitrage,Arbitrage Fund,,INF761K01EI2,143613,BANK OF INDIA Arbitrage Fund Direct Plan Annual IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF761K01ED3,143614,BANK OF INDIA Arbitrage Fund Direct Plan Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF761K01EE1,143615,BANK OF INDIA Arbitrage Fund Direct Plan Monthly IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF761K01EG6,143616,BANK OF INDIA Arbitrage Fund Direct Plan Quarterly IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF761K01DW5,143620,BANK OF INDIA Arbitrage Fund Regular Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF761K01EB7,143617,BANK OF INDIA Arbitrage Fund Regular Plan IDCW Annual IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF761K01DX3,143618,BANK OF INDIA Arbitrage Fund Regular Plan IDCW Monthly IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF761K01DZ8,143619,BANK OF INDIA Arbitrage Fund Regular Plan IDCW Quarterly IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF251K01OV6,150252,BARODA BNP PARIBAS ARBITRAGE FUND -DIRECT PLAN - ADHOC IDCW OPTION,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF251K01PF6,150255,BARODA BNP PARIBAS ARBITRAGE FUND DIRECT PLAN MONTHLY IDCW Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF251K01PJ8,150256,BARODA BNP PARIBAS ARBITRAGE FUND DIRECT PLAN QUARTERLY IDCW Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF251K01PD1,150254,BARODA BNP PARIBAS ARBITRAGE FUND REGULAR PLAN MONTHLY IDCW Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF251K01PH2,150257,BARODA BNP PARIBAS ARBITRAGE FUND REGULAR PLAN QUARTERLY IDCW Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF251K01ON3,150250,BARODA BNP PARIBAS ARBITRAGE FUND- REGULAR PLAN- GROWTH OPTION,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
arbitrage,Arbitrage Fund,,INF251K01OT0,150251,BARODA BNP PARIBAS ARBITRAGE FUND-DIRECT PLAN-GROWTH OPTION,,,,,"Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
